Год,Месяц,День,Время,Мероприятие,Место,Ответственный,Примечания

2022,Февраль,3 Чт,10:00,Ганеев,БКЗ, , 

2022,Февраль,4 Пт,,,, , 

2022,Февраль,4 Пт,11:00,Репетиция Форте,БКЗ, , 

2022,Февраль,5 Сб,,,, , 

2022,Февраль,5 Сб,,,, , 

2022,Февраль,6 Вс,18:00,Музыкальный каток,ЛОФТ, , 

2022,Февраль,7 Пн,18:00,Минспорт,БКЗ, , 

2022,Февраль,8 Вт,,,, , 

2022,Февраль,9 Ср,,,, , 

2022,Февраль,10 Чт,,,, , 

2022,Февраль,11 Пт,10:00,Два народа ,БКЗ, , 

2022,Февраль,12 Сб,,,, , 

2022,Февраль,13 Вс,,,, , 

2022,Февраль,14 Пн,,,, , 

2022,Февраль,15 Вт,,,, , 

2022,Февраль,16 Ср,,,, , 

2022,Февраль,17 Чт,,,, , 

2022,Февраль,18 Пт,,,, , 

2022,Февраль,19 Сб,,,, , 

