Месяц,День,Время,Мероприятие,Место

Январь,1 Сб,,,

Январь,2 Вс,,,

Январь,3 Пн,,,

Январь,4 Вт,,,

Январь,5 Ср,,,

Январь,6 Чт,,,

Январь,7 Пт,,,

Январь,8 Сб,,,

Январь,9 Вс,,,

Январь,10 Пн,,,

Январь,11 Вт,,,

Январь,12 Ср,,,

Январь,13 Чт,,,

Январь,14 Пт,,,

Январь,15 Сб,,,

Январь,16 Вс,,,

Январь,17 Пн,,,

Январь,18 Вт,,,

Январь,19 Ср,,,

Январь,20 Чт,,,

Январь,21 Пт,,,

Январь,22 Сб,,,

Январь,23 Вс,,,

Январь,24 Пн,,,

Январь,25 Вт,,,

Январь,26 Ср,,,

Январь,27 Чт,,,

Январь,28 Пт,,,

Январь,29 Сб,,,

Январь,30 Вс,,,

Январь,31 Пн,,,

Февраль,1 Вт,,,

Февраль,2 Ср,,,

Февраль,3 Чт,,,

Февраль,4 Пт,,,

Февраль,5 Сб,,,

Февраль,6 Вс,,,

Февраль,7 Пн,,,

Февраль,8 Вт,,,

Февраль,9 Ср,,,

Февраль,10 Чт,,,

Февраль,11 Пт,,,

Февраль,12 Сб,,,

Февраль,13 Вс,,,

Февраль,14 Пн,,,

Февраль,15 Вт,,,

Февраль,16 Ср,,,

Февраль,17 Чт,,,

Февраль,18 Пт,,,

Февраль,19 Сб,,,

Февраль,20 Вс,,,

Февраль,21 Пн,,,

Февраль,22 Вт,,,

Февраль,23 Ср,,,

Февраль,24 Чт,,,

Февраль,25 Пт,,,

Февраль,26 Сб,,,

Февраль,27 Вс,,,

Февраль,28 Пн,,,

Март,1 Вт,,,

Март,2 Ср,,,

Март,3 Чт,,,

Март,4 Пт,,,

Март,5 Сб,,,

Март,6 Вс,,,

Март,7 Пн,,,

Март,8 Вт,,,

Март,9 Ср,,,

Март,10 Чт,,,

Март,11 Пт,,,

Март,12 Сб,,,

Март,13 Вс,,,

Март,14 Пн,,,

Март,15 Вт,,,

Март,16 Ср,,,

Март,17 Чт,,,

Март,18 Пт,,,

Март,19 Сб,,,

Март,20 Вс,,,

Март,21 Пн,,,

Март,22 Вт,,,

Март,23 Ср,,,

Март,24 Чт,,,

Март,25 Пт,,,

Март,26 Сб,,,

Март,27 Вс,,,

Март,28 Пн,,,

Март,29 Вт,,,

Март,30 Ср,,,

Март,31 Чт,,,

Апрель,1 Пт,,,

Апрель,2 Сб,,,

Апрель,3 Вс,,,

